Player_ID,Role
1,0
10,0
11,0
12,0
13,1
14,0
15,1
16,0
17,1
18,1
19,1
2,0
20,1
21,1
22,1
23,1
24,1
25,1
26,1
27,1
28,1
29,1
3,0
30,1
31,1
32,1
33,1
4,0
5,0
6,0
7,0
8,0
9,1
