Frame,Player_ID,X,Y,Team_ID
0,Ball,0.8564236111111111,0.1211111111111111,Team A
10020,Ball,0.2678819444444444,0.3158333333333333,Team A
10050,Ball,0.2322916666666666,0.3130555555555555,Team A
10080,Ball,0.2151041666666666,0.3188888888888889,Team A
10110,Ball,0.2065972222222222,0.3258333333333333,Team A
10140,Ball,0.1934027777777777,0.3380555555555555,Team A
10170,Ball,0.85625,0.1211111111111111,Team A
1020,Ball,0.2288194444444444,0.3805555555555555,Team A
10200,Ball,0.85625,0.1211111111111111,Team A
10230,Ball,0.8564236111111111,0.1211111111111111,Team A
10260,1,0.663525402545929,0.5137028098106384,Team A
10260,2,0.6837984919548035,0.4417489767074585,Team B
10260,3,0.696449875831604,0.4322870969772339,Team A
10260,4,0.7072830200195312,0.4226465821266174,Team A
10260,5,0.6350040435791016,0.4616677165031433,Team B
10260,6,0.622993528842926,0.4584720134735107,Team B
10260,7,0.6124165058135986,0.4539341032505035,Team A
10260,8,0.7291454076766968,0.3753907382488251,Team A
10260,9,0.5826522707939148,0.4367823898792267,Team A
10260,10,0.6935473680496216,0.540095329284668,Team A
10260,11,0.6502532362937927,0.5557788014411926,Team B
10260,12,0.7843344211578369,0.415694385766983,Team B
10260,13,0.5323432683944702,0.5167597532272339,Team A
10260,14,0.8718048334121704,0.4245497286319732,Team B
10260,15,0.4133844077587127,0.6731893420219421,Team B
10260,16,0.8576771020889282,0.4487817585468292,Team B
10260,17,0.3938825726509094,0.9395846128463744,Team B
10260,18,0.8669566512107849,0.4289150238037109,Team A
10260,19,0.3557595014572143,0.9817762970924376,Team B
10260,20,0.8514164686203003,0.431977242231369,Team A
10260,21,0.3878416419029236,0.9761589169502258,Team B
10260,22,0.8411973118782043,0.4510599672794342,Team A
10260,23,0.4133380055427551,0.9664533138275146,Team A
10260,24,0.7479864954948425,0.7050106525421143,Team B
10260,25,0.6167620420455933,0.7335028648376465,Team B
10260,26,0.7155360579490662,0.8062568306922913,Team B
10260,27,0.5930051803588867,0.8018999099731445,Team B
10260,28,0.7010741829872131,0.8008223176002502,Team A
10260,29,0.584568977355957,0.8519728779792786,Team A
10260,30,0.6940216422080994,0.7908362746238708,Team B
10260,31,0.588882327079773,0.8404156565666199,Team B
10260,32,0.694972813129425,0.8979939818382263,Team A
10260,33,0.6038782596588135,0.9707965850830078,Team B
10260,Ball,0.7791666666666667,0.7461111111111111,Team A
10290,1,0.5944041609764099,0.5269361138343811,Team A
10290,2,0.6166183948516846,0.4546525180339813,Team B
10290,3,0.6325654983520508,0.4415495097637176,Team A
10290,4,0.6472502946853638,0.4290501177310943,Team A
10290,5,0.566988468170166,0.4719319641590118,Team B
10290,6,0.5520168542861938,0.4690593183040619,Team B
10290,7,0.5385423898696899,0.46425461769104,Team A
10290,8,0.6675368547439575,0.3874401152133941,Team A
10290,9,0.5050432085990906,0.4501174688339233,Team A
10290,10,0.6205011606216431,0.5550038814544678,Team A
10290,11,0.5790390372276306,0.5662895441055298,Team B
10290,12,0.7389132976531982,0.4776374101638794,Team B
10290,13,0.4674861431121826,0.5235924124717712,Team A
10290,14,0.8514953851699829,0.5761540532112122,Team B
10290,15,0.3814881145954132,0.6723577976226807,Team B
10290,16,0.9136037826538086,0.7248072028160095,Team B
10290,17,0.3479757606983185,0.8705782890319824,Team B
10290,18,0.9581159949302672,0.7329624891281128,Team A
10290,19,0.3156453371047973,0.9067032933235168,Team B
10290,20,0.9296449422836304,0.7390204668045044,Team A
10290,21,0.339981347322464,0.9024229049682616,Team B
10290,22,0.9042000770568848,0.7477926015853882,Team A
10290,23,0.3626933097839355,0.8944568634033203,Team A
10290,24,0.7026382684707642,0.7068536877632141,Team B
10290,25,0.5677721500396729,0.734287679195404,Team B
10290,26,0.6983198523521423,0.8331170082092285,Team B
10290,27,0.584015429019928,0.8258233666419983,Team B
10290,28,0.685620903968811,0.8634005188941956,Team A
10290,29,0.5788947343826294,0.8646330833435059,Team A
10290,30,0.6773450970649719,0.857046902179718,Team B
10290,31,0.5825827121734619,0.8568882942199707,Team B
10290,32,0.6842849254608154,0.9717297554016112,Team A
10290,33,0.6019777655601501,0.972999632358551,Team B
10290,Ball,0.7487847222222223,0.7338888888888889,Team A
10320,1,0.5672277212142944,0.3867621719837188,Team A
10320,2,0.5996595025062561,0.3180408775806427,Team B
10320,3,0.6194648146629333,0.31405770778656,Team A
10320,4,0.6337653398513794,0.3123674094676971,Team A
10320,5,0.5475815534591675,0.3228673636913299,Team B
10320,6,0.533203125,0.3206947445869446,Team B
10320,7,0.518383264541626,0.3180325031280517,Team A
10320,8,0.6544774770736694,0.3302865326404571,Team A
10320,9,0.4910780489444732,0.3161946535110473,Team A
10320,10,0.6098077297210693,0.4552619159221649,Team A
10320,11,0.5385341644287109,0.4468852281570434,Team B
10320,12,0.7255077958106995,0.4870416522026062,Team B
10320,13,0.4534944295883178,0.5250009298324585,Team A
10320,14,0.818268358707428,0.6621487736701965,Team B
10320,15,0.3580798208713531,0.6635018587112427,Team B
10320,16,0.834193229675293,0.8995375633239746,Team B
10320,17,0.2871358096599579,0.7959257960319519,Team B
10320,18,0.8676659464836121,0.9510086178779602,Team A
10320,19,0.2509442567825317,0.820053219795227,Team B
10320,20,0.8211191892623901,0.9501413702964784,Team A
10320,21,0.2618694901466369,0.8178941607475281,Team B
10320,22,0.799731433391571,0.9337936639785768,Team A
10320,23,0.2858193814754486,0.8148987293243408,Team A
10320,24,0.6728397011756897,0.7474040389060974,Team B
10320,25,0.5332390666007996,0.7591874003410339,Team B
